Abbie	アビー
Abigail	アビゲイル
Ada	エイダ
Adela	アデラ
Adelaide	アドレイド
Adele	アデル
Adeline	アデライン
Agatha	アガサ
Agnes	アグネス
Aileen	エイリーン、アイリーン
Aimee	エイミー
Alana	アラーナ
Alberta	アルバータ
Alexandra	アレグザンドラ
Alexia	アレクシア
Alice	アリス
Alicia	アリシア
Alison	アリスン、アリソン
Allyn	アーリン
Alma	アルマ
Amanda	アマンダ
Amber	アンバー
Amelia	アミーリア、アメーリア
Amy	エイミー
Ana	アナ
Anastasia	アナスタージア
Andrea	アンドレア
Angela	アンジェラ
Angelia	アンジェリア
Angelica	アンジェリカ
Angelina	アンジェリーナ
Anita	アニタ、アニータ
Ann	アン
Anna	アナ、アンナ
Annabel	アナベル
Annabella	アナベラ
Annabelle	アナベル
Anne	アン
Annie	アニー
Anthonia	アントニア、アンソニア
Antonia	アントニア
April	エイプリル
Arabella	アラベラ
Ariel	アリエル、エリアル
Arlene	アーリーン
Ashley	アシュリー
Audrey	オードリー
Augusta	オーガスタ
Aurelia	オーレリア
Averil	エイヴリル
Avril	アヴリル、アーヴリル
Barbara	バーバラ
Beatrice	ベアトリス、ビアトリス
Beatrix	ベアトリクス、ビアトリクス
Becky	ベッキー
Belinda	ベリンダ
Bella	ベラ
Bertha	バーサ
Bethany	ベサニー
Betty	ベティ
Beverley	ビヴァリー
Beverly	ビヴァリー
Blythe	ブライズ
Bonnie	ボニー
Brenda	ブレンダ
Brianna	ブリアナ
Bridget	ブリジット
Britney	ブリトニー
Brittany	ブリタニー
Calista	カリスタ
Cameron	キャメロン、カメロン
Camilla	カミラ
Carey	ケアリー、キャリー
Carla	カーラ
Carlie	カーリー
Carol	キャロル
Carolina	キャロライナ、カロライナ
Caroline	キャロライン、カロライン
Carolyn	キャロリン
Casey	ケイシー
Cassie	キャシー
Catherine	キャサリン、キャスリン
Cecilia	セシリア
Cecily	セシリー
Celeste	セレスト
Charlie	チャーリー
Charlotte	シャーロット
Chelsea	チェルシー
Cherie	シェリー
Cherry	チェリー
Cheryl	シェリル
Chloe	クローイ
Christiana	クリスティアナ
Christina	クリスティーナ
Christine	クリスティーン、クリスティン
Cindy	シンディー
Claire	クレア
Clara	クラーラ
Clarice	クラリス、クラリース
Clarissa	クラリッサ
Claudia	クローディア
Clementine	クレメンタイン、クレメンティーン
Colleen	コリーン
Connie	コニー
Constance	コンスタンス
Cordelia	コーデリア
Corinna	コリンナ
Corrie	コーリー
Courtney	コートニー
Crystal	クリスタル
Cyndy	シンディー
Cynthia	シンシア
Dahlia	ダリア
Daisy	デイジー、デージー
Dana	ダーナ、デイナ
Danielle	ダニエル
Daphne	ダフニー
Darcey	ダーシー
Darcy	ダーシー
Darla	ダーラ
Darleen	ダーリーン
Darlene	ダーリーン
Deanna	ディアナ
Debbie	デビー
Deborah	デボラ
Debra	デブラ
Deirdre	ディアドラ、ディアドリー
Delia	デリア
Denise	デニース、デニーズ
Diana	ダイアナ
Diane	ダイアン
Dianne	ダイアン
Dolly	ドリー
Dolores	ドローレス
Donna	ドナ
Dora	ドーラ
Doreen	ドーリーン、ドリーン
Doris	ドリス
Dorothea	ドロシア
Dorothy	ドロシー
Dulcie	ダルシー
Earlene	アーリーン
Eden	イーデン
Edith	イーディス（エディス）
Edythe	イーディス
Eileen	アイリーン
Elaine	イレイン、エレイン
Eleanor	エリナー、エリノア
Eleanora	エリノーラ、エレノーラ
Elinor	エリナー、エリノア
Elisabeth	エリザベス
Eliza	イライザ
Elizabeth	エリザベス
Ella	エラ
Ellen	エレン
Ellie	エリー
Eloise	エロイーズ
Elsie	エルシー
Emilia	エミリア
Emily	エミリー
Emma	エマ
Emmeline	エメライン、エメリーン
Emmy	エミー
Enola	エノーラ
Erica	エリカ
Erika	エリカ
Erin	エリン
Esmeralda	エスメラルダ
Estelle	エステル
Esther	エスター
Ethel	エセル
Eugenie	ユージェニー
Eunice	ユーニス
Euphemia	ユーフェミア
Eva	イーヴァ（エヴァ）
Evangeline	イヴァンジェリン
Eve	イヴ
Evelyn	イヴリン
Evie	イーヴィー
Fannie	ファニー
Felicia	フェリシア
Fiona	フィオナ
Flora	フローラ
Florence	フローレンス
Frances	フランシス
Frederica	フレデリーカ
Gabriella	ギャブリエラ
Gail	ゲイル、ゲール
Gemma	ジェマ
Genevieve	ジェネヴィーヴ
Georgia	ジョージア
Georgiana	ジョージアナ、ジョージアーナ
Georgina	ジョージナ、ジョージーナ
Geraldine	ジェラルディーン
Gerry	ジェリー
Gertrude	ガートルード
Gillian	ジリアン
Ginger	ジンジャー
Gladys	グラディス
Glenda	グレンダ
Gloria	グローリア、グロリア
Gloriana	グロリアーナ
Grace	グレース、グレイス
Greta	グレタ
Gwyneth	グウィネス
Hanna	ハナ、ハンナ
Hannah	ハナ、ハンナ
Harriet	ハリエット
Harriette	ハリエット
Hazel	ヘーゼル、ヘイゼル
Heather	ヘザー
Helen	ヘレン
Helena	ヘレナ
Heloise	ヘロイーズ
Henrietta	ヘンリエッタ
Hermione	ハーマイオニー
Hester	ヘスター
Hilary	ヒラリー
