Aadolf	アードルフ
Aapeli	アーペリ
Aapo	アーポ
Aappo	アーッポ
Aarne	アールネ
Aarni	アールニ
Aarno	アールノ
Aaro	アーロ
Aaron	アーロン
Aarre	アーッレ
Aarto	アールト
Aatami	アータミ
Aatos	アートス
Aatto	アーット
Aatu	アートゥ
Ahti	アハティ
Ahto	アハト
Ahvo	アハヴォ
Aimo	アイモ
Aki	アキ
Akseli	アクセリ
Aku	アク
Albert	アルベルト
Ale	アレ
Aleksanteri	アレクサンテリ
Aleksi	アレクシ
Aleksis	アレクシス
Allan	アッラン
Alpertti	アルペルッティ
Alpi	アルピ
Alpo	アルポ
Altti	アルッティ
Alvi	アルヴィ
Ano	アノ
Anselmi	アンセルミ
Anssi	アンッシ
Antero	アンテロ
Anton	アントン
Antti	アンッティ
Antto	アンット
Anttoni	アンットニ
Arhippa	アルヒッパ
Arho	アルホ
Ari	アリ
Armas	アルマス
Arsi	アルシ
Arto	アルト
Arttu	アルットゥ
Artturi	アルットゥリ
Arvi	アルヴィ
Arvo	アルヴォ
Asko	アスコ
Aslak	アスラク
Asmo	アスモ
Assi	アッシ
Atro	アトロ
Atso	アッツォ
Atte	アッテ
August	アウグスト
Aukusti	アウクスティ
Aulis	アウリス
Auno	アウノ
Auvo	アウヴォ
Daavid	ダーヴィド
Daniel	ダニエル
Edvard	エドヴァルド
Eelis	エーリス
Eemeli	エーメリ
Eemil	エーミル
Eerik	エーリク
Eerikki	エーリッキ
Eero	エーロ
Eetu	エートゥ
Einari	エイナリ
Eino	エイノ
Elias	エリアス
Eljas	エリヤス
Elmer	エルメル
Elmo	エルモ
Ensio	エンシオ
Erkki	エルッキ
Ernesti	エルネスティ
Erno	エルノ
Esa	エサ
Esaias	エサイアス
Esko	エスコ
Gabriel	ガブリエル
Hannes	ハンネス
Hannu	ハンヌ
Harri	ハッリ
Heikki	ヘイッキ
Heimo	ヘイモ
Heino	ヘイノ
Hemminki	ヘンミンキ
Hemmo	ヘンモ
Henri	ヘンリ
Henrik	ヘンリク
Henrikki	ヘンリッキ
Herkko	ヘルッコ
Hermanni	ヘルマンニ
Iikka	イーッカ
Iiro	イーロ
Iisakki	イーサッキ
Iivari	イーヴァリ
Iivo	イーヴォ
Ilari	イラリ
Ilkka	イルッカ
Ilmari	イルマリ
Ilmo	イルモ
Ilpo	イルポ
Ilppo	イルッポ
Immanuel	インマヌエル
Immo	インモ
Into	イント
Isko	イスコ
Ismo	イスモ
Isto	イスト
Jaakkima	ヤーッキマ
Jaakko	ヤーッコ
Jaakob	ヤーコブ
Jaakoppi	ヤーコッピ
Jalmari	ヤルマリ
Jalo	ヤロ
Jami	ヤミ
Jani	ヤニ
Janne	ヤンネ
Jari	ヤリ
