Aaron	アーロン
Abbey	アビー
Abbington	アビントン
Abbot	アボット
Abbott	アボット
Abel	エイベル
Abercrombie	アバークロンビー
Abernethy	アバネシー
Abington	アビントン
Ace	エース
Acheson	アチソン
Acker	アッカー
Ackerson	アッカーソン、アッカースン
Ackroyd	アクロイド
Acland	アクランド
Acton	アクトン
Adams	アダムズ
Adamson	アダムソン
Adcock	アドコック
Addington	アディントン
Addinsell	アディンセル
Addison	アディソン
Addy	アディ
Adinton	アディントン
Adkins	アドキンズ
Adlam	アドラム
Adrian	エイドリアン
Ager	エイジャー
Agnew	アグニュー
Agutter	アガター
Ahearne	アハーン
Aidan	エイデン
Ailey	エイリー
Aimers	エイマーズ
Ainsworth	エインズワース
Airey	エイリー
Airy	エアリー
Aitken	エイトケン
Albarn	アルバーン
Albright	オルブライト、オールブライト
Alcock	オルコック、オールコック
Alcott	オルコット
Alderson	アルダーソン
Aldington	オールディントン
Aldis	オールディス
Aldiss	オールディス
Aldrich	オールドリッチ
Aldridge	アルドリッジ
Alexander	アレグザンダー（アレクサンダー）
Alford	アルフォード
Algren	オルグレン
Allan	アラン
Allen	アレン
Allenby	アレンビー
Allingham	アリンガム、アリングハム
Allison	アリソン、アリスン
Allport	オールポート
Allston	オールストン
Almond	アーモンド
Ambler	アンブラー
Amery	エーメリー
Ames	エイムズ
Amherst	アマースト
Amis	エイミス
Anderson	アンダーソン、アンダースン
Andrews	アンドルーズ（アンドリュース）
Angell	エンジェル
Ankerson	アンカーソン
Annakin	アナキン
Anthony	アントニー、アンソニー
Anvil	アンヴィル
Appleby	アップルビー
Applegarth	アップルガース
Appleton	アップルトン
Appleyard	アップルヤード
Archer	アーチャー
Archibald	アーチボルド
Aris	アリス
Arkin	アーキン
Arkwright	アークライト
Arliss	アーリス
Armitage	アーミテイジ
Armstrong	アームストロング
Arne	アーン
Arnett	アーネット
Arnold	アーノルド
Arterton	アータートン
Arthur	アーサー
Arthurs	アーサーズ
Ascham	アスカム
Ashbery	アシュベリー、アッシュベリー
Ashburton	アシュバートン
Ashby	アシュビー
Ashcroft	アシュクロフト
Asher	アッシャー
Ashfield	アシュフィールド、アッシュフィールド
Ashley	アシュリー
Ashton	アシュトン
Asquith	アスクウィス（アスキス）
Astley	アストリー
Aston	アストン
Astor	アスター
Atkins	アトキンズ
Atkinson	アトキンソン
Attenborough	アッテンボロー
Attlee	アトリー
Attwell	アットウェル
Attwood	アトウッド
Aubrey	オーブリー
Auden	オーデン
Audsley	オーズリー
Audubon	オーデュボン
Austin	オースティン
Avallone	アヴァロン
Aveling	エイヴリング
Avery	エイヴァリー、エーヴリー
Avory	エイヴォリー
Awdry	オードリー
Aynsley	エインズリー（エインズレイ）
Ayrton	エアトン
Babbage	バベッジ
Babbington	バビントン
Backley	バックリー
